,+ % of Dataset 2,Row-stacking obs accuracy,Row-stacking nonobs accuracy,Row-stacking accuracy in TEST set,Weighted-Row-stacking obs accuracy,Weighted-Row-stacking nonobs accuracy,Weighted-Row-stacking accuracy in TEST set,Row-stacking obs bias,Row-stacking nonobs bias,Row-stacking bias in TEST set,Weighted-Row-stacking obs bias,Weighted-Row-stacking nonobs bias,Weighted-Row-stacking bias in TEST set,Num obs samples,Num nonobs samples
0,10.0,86.75,85.13,85.3,86.81,84.85,85.33,0.09711462710084033,0.10487754540451294,0.09748888888888889,0.09706538865546219,0.1058062740781508,0.09763333333333334,60928.0,29072.0
1,20.0,86.57,85.23,85.29,86.59,84.86,85.07,0.09630912925579994,0.10347738014854828,0.09728571428571428,0.09695691473335342,0.10486158001350439,0.09793253968253968,66380.0,29620.0
2,30.0,86.37,85.18,85.33,86.51,84.98,85.2,0.09661149194672017,0.10338097128490141,0.09719230769230769,0.09768433372345761,0.105068148736271,0.09834188034188034,71772.0,30228.0
3,40.0,86.41,85.15,85.25,86.42,85.02,85.16,0.09753666524277374,0.10329463037044265,0.09777777777777778,0.09714833080915951,0.10309948938107782,0.09730092592592593,77253.0,30747.0
4,50.0,86.38,85.3,85.27,86.33,85.16,85.18,0.09828977011215814,0.10274190470131687,0.09806060606060606,0.09790218260216564,0.10248743558750556,0.09755050505050505,82562.0,31438.0
5,60.0,86.31,85.17,85.14,86.48,85.04,85.17,0.09652004865792795,0.10243765410905459,0.09708333333333333,0.09748638601198259,0.10377976840725366,0.09784444444444444,87961.0,32039.0
6,70.0,86.32,85.11,85.36,86.45,85.04,85.29,0.09611598544832013,0.1026121696373694,0.0971111111111111,0.09682216991226193,0.10334972341733252,0.09795679012345679,93460.0,32540.0
7,80.0,86.36,85.42,85.53,86.32,85.11,85.39,0.09817404778060217,0.10307604414108308,0.098,0.09725246346576466,0.10241452927203296,0.09740972222222222,98743.0,33257.0
8,90.0,86.22,85.29,85.51,86.24,85.14,85.48,0.0973731710127117,0.1040952606074932,0.09688095238095239,0.09769000345635392,0.10477484930859236,0.09719047619047619,104156.0,33844.0
