,Data_Set,Iter,Generator_Loss,Discriminator_Loss,Accuracy,Fake_Real_Accuracy,Real_Share,Pred_Real_Share
0,1,0,0.6936609745025635,15.905142784118652,0.5,0.5,0.0,0.0
1,1,1,0.6944751739501953,15.970314979553223,0.5,0.5,0.0,0.0
2,1,2,0.69496750831604,15.719857215881348,0.5,0.5,0.0,0.0
3,1,3,0.6849215626716614,16.054149627685547,0.5,0.5,0.0,0.0
4,1,4,0.6897798180580139,16.015634536743164,0.5,0.5,0.0,0.0
5,1,5,0.7051375508308411,15.75139045715332,0.5,0.5,0.0,0.0
6,1,6,0.8013116121292114,16.153079986572266,0.5,0.5,0.0,0.0
7,1,7,0.69878089427948,15.962404251098633,0.5,0.5,0.0,0.0
8,1,8,0.75895094871521,15.3387451171875,0.5,0.5,0.0,0.0
9,1,9,0.6851558685302734,16.422821044921875,0.5,0.5,0.0,0.0
10,1,10,0.9837336540222168,13.903289794921875,0.5,0.5,0.0,0.0
11,1,11,0.4592806100845337,14.875468254089355,0.5,0.5,0.0,0.0
12,1,12,1.3102028369903564,11.129674911499023,0.5,0.5,0.0,0.0
13,1,13,0.3291622996330261,15.355607986450195,0.5,0.5,0.0,0.0
14,1,14,4.54529333114624,4.986965179443359,0.4375,0.5,0.0,0.0
15,1,15,0.38379907608032227,7.432991981506348,0.5625,0.5,0.0,0.0
16,1,16,4.2487030029296875,28.436073303222656,0.375,0.5,0.0,0.0625
17,1,17,3.6597516536712646,2.1779046058654785,0.6875,0.5,0.0,0.0
18,1,18,6.961431503295898,50.6731071472168,0.5,0.5,0.0,0.0
19,1,19,8.992115020751953,22.037111282348633,0.4375,0.5,0.0,0.0
