,Data_Set,Iter,Generator_Loss,Discriminator_Loss,Accuracy
0,100,0,0.6974552869796753,1.13069486618042,0.5
1,100,1,0.6909245252609253,1.1332910060882568,0.5
2,100,2,0.6868687272071838,1.1406779289245605,0.5
3,100,3,0.6848648190498352,1.146316409111023,0.5
4,100,4,0.6898981332778931,1.1450176239013672,0.5
5,100,5,0.7403505444526672,1.1361291408538818,0.5
6,100,6,0.6979019045829773,1.1291258335113525,0.5
7,100,7,0.6821510195732117,1.129483938217163,0.5
8,100,8,0.728053629398346,1.1335053443908691,0.5
9,100,9,0.6726636290550232,1.1460248231887817,0.5
