,Data_Set,Iter,Generator_Loss,Discriminator_Loss,Accuracy,Fake_Real_Accuracy,Real_Share,Pred_Real_Share
0,100,0,0.2960410416126251,2.65610408782959,0.6142857142857143,0.5,0.14285714285714285,0.0
1,100,1,0.3035411536693573,2.660001277923584,0.6,0.5,0.14285714285714285,0.0
2,100,2,0.29357895255088806,2.6659440994262695,0.5,0.5,0.14285714285714285,0.0
3,100,3,0.29802241921424866,2.6627166271209717,0.5,0.5,0.14285714285714285,0.0
4,100,4,0.2927674949169159,2.6096839904785156,0.6,0.5,0.14285714285714285,0.0
5,100,5,0.29425421357154846,2.6435985565185547,0.5428571428571428,0.5,0.14285714285714285,0.0
6,100,6,0.28087154030799866,2.6340103149414062,0.5714285714285714,0.5,0.14285714285714285,0.0
7,100,7,0.29098090529441833,2.6056556701660156,0.5857142857142857,0.5,0.14285714285714285,0.0
8,100,8,0.27308332920074463,2.649163246154785,0.5571428571428572,0.5,0.14285714285714285,0.0
9,100,9,0.2868712544441223,2.6186842918395996,0.5857142857142857,0.5,0.14285714285714285,0.0
10,100,10,0.2663634121417999,2.6634345054626465,0.5142857142857142,0.5,0.14285714285714285,0.0
11,100,11,0.2805725038051605,2.6588687896728516,0.5285714285714286,0.5,0.14285714285714285,0.0
12,100,12,0.2881215512752533,2.6553726196289062,0.5285714285714286,0.5,0.14285714285714285,0.0
13,100,13,0.3062429130077362,2.6080732345581055,0.5428571428571428,0.5,0.14285714285714285,0.0
14,100,14,0.4152764081954956,2.520688533782959,0.5714285714285714,0.5,0.14285714285714285,0.0
15,100,15,4.194671630859375,2.0685019493103027,0.6428571428571429,0.5,0.14285714285714285,0.0
16,100,16,5.699609756469727,1.7825331687927246,0.8428571428571429,0.5,0.14285714285714285,0.0
17,100,17,7.308603286743164,1.7520428895950317,0.8714285714285714,0.5,0.14285714285714285,0.0
18,100,18,8.43493938446045,1.7462149858474731,0.8714285714285714,0.5,0.14285714285714285,0.0
19,100,19,8.588677406311035,1.7215995788574219,0.9,0.5,0.14285714285714285,0.0
20,100,20,7.809517860412598,1.7139836549758911,0.8857142857142857,0.5,0.14285714285714285,0.0
21,100,21,8.582467079162598,1.7382253408432007,0.8714285714285714,0.5,0.14285714285714285,0.0
22,100,22,7.103211402893066,1.713618278503418,0.8857142857142857,0.5,0.14285714285714285,0.0
23,100,23,11.787083625793457,1.747807264328003,0.8571428571428571,0.5,0.14285714285714285,0.0
24,100,24,9.65406322479248,1.7445988655090332,0.8714285714285714,0.5,0.14285714285714285,0.0
25,100,25,10.300088882446289,1.7075095176696777,0.9,0.5,0.14285714285714285,0.0
26,100,26,10.91243839263916,1.6935336589813232,0.9,0.5,0.14285714285714285,0.0
27,100,27,6.5212788581848145,1.6537655591964722,0.9428571428571428,0.5,0.14285714285714285,0.07142857142857142
28,100,28,8.348191261291504,1.6415132284164429,0.9285714285714286,0.5,0.14285714285714285,0.08571428571428572
29,100,29,8.884952545166016,1.6306564807891846,0.9428571428571428,0.5,0.14285714285714285,0.08571428571428572
30,100,30,9.868645668029785,1.5973858833312988,0.9714285714285714,0.5,0.14285714285714285,0.07142857142857142
31,100,31,4.455597877502441,1.6183433532714844,0.9428571428571428,0.5,0.14285714285714285,0.07142857142857142
32,100,32,10.810912132263184,1.6150859594345093,0.9571428571428572,0.5,0.14285714285714285,0.08571428571428572
33,100,33,8.3086576461792,1.6055089235305786,0.9571428571428572,0.5,0.14285714285714285,0.08571428571428572
34,100,34,7.758878231048584,1.6123967170715332,0.9571428571428572,0.5,0.14285714285714285,0.08571428571428572
35,100,35,11.631593704223633,1.6138319969177246,0.9571428571428572,0.5,0.14285714285714285,0.08571428571428572
36,100,36,4.341788291931152,1.6345460414886475,0.9428571428571428,0.5,0.14285714285714285,0.08571428571428572
37,100,37,7.633485794067383,1.6117417812347412,0.9571428571428572,0.5,0.14285714285714285,0.07142857142857142
38,100,38,5.259456157684326,1.632272720336914,0.9428571428571428,0.5,0.14285714285714285,0.08571428571428572
39,100,39,8.020880699157715,1.6226797103881836,0.9428571428571428,0.5,0.14285714285714285,0.07142857142857142
