,Data_Set,Iter,Generator_Loss,Discriminator_Loss,Accuracy
0,2,0,0.7101854681968689,1.3842109441757202,0.5
1,2,1,0.6856061220169067,1.362542986869812,0.5
2,2,2,0.782799482345581,1.3434808254241943,0.5
3,2,3,0.5929415225982666,1.3665146827697754,0.5
4,2,4,1.066300630569458,1.179229974746704,0.5
5,2,5,3.047492027282715,0.9587256908416748,0.625
6,2,6,0.05499828979372978,0.9316987991333008,0.8125
7,2,7,4.719811916351318,0.897113561630249,0.875
8,2,8,7.766221523284912,0.8675874471664429,0.875
9,2,9,6.764766693115234,0.8276002407073975,0.9375
10,2,10,7.405435085296631,0.8330137729644775,1.0
11,2,11,8.248680114746094,0.8490570783615112,0.875
12,2,12,9.482060432434082,0.7958966493606567,1.0
13,2,13,6.801926612854004,0.8261719942092896,1.0
14,2,14,8.962719917297363,0.8162999153137207,0.9375
15,2,15,7.295955657958984,0.8464750051498413,0.875
16,2,16,5.578592300415039,0.8641115427017212,0.8125
17,2,17,8.106552124023438,0.8146625757217407,0.9375
18,2,18,8.838920593261719,0.8162519931793213,0.9375
19,2,19,6.852357387542725,0.8329695463180542,0.875
20,2,20,7.689227104187012,0.818519115447998,0.9375
21,2,21,0.0,26.05942153930664,0.4375
22,2,22,4.59841775894165,0.8840519189834595,0.9375
23,2,23,7.2135329246521,0.8423913717269897,0.875
24,2,24,6.169820308685303,0.8254265785217285,0.9375
25,2,25,9.647257804870605,0.8471807241439819,0.875
26,2,26,12.024665832519531,1.02003014087677,0.75
27,2,27,12.47081184387207,0.8279712200164795,0.875
28,2,28,12.283575057983398,0.8249580264091492,0.875
29,2,29,11.771247863769531,0.8110511302947998,0.9375
30,2,30,17.76270866394043,0.8375250101089478,0.9375
31,2,31,6.210399627685547,0.8144290447235107,0.9375
32,2,32,7.596030235290527,0.8191015720367432,0.9375
33,2,33,10.755157470703125,0.8062337636947632,0.9375
34,2,34,8.599163055419922,0.8616241812705994,0.8125
35,2,35,9.344514846801758,0.8182961344718933,0.9375
36,2,36,10.870033264160156,0.841173529624939,0.875
37,2,37,6.258152961730957,0.8516250848770142,0.875
38,2,38,8.380267143249512,0.8132404685020447,0.9375
39,2,39,9.51734733581543,0.8195948600769043,0.9375
