,Data_Set,Iter,Generator_Loss,Discriminator_Loss,Accuracy
0,2,0,0.6093065738677979,1.3763564825057983,0.5
1,2,1,0.7139716148376465,1.3649113178253174,0.5
2,2,2,0.7150521278381348,1.3638826608657837,0.5
3,2,3,0.702240526676178,1.3604984283447266,0.5
4,2,4,0.7078719139099121,1.3740198612213135,0.5
5,2,5,0.8106276988983154,1.34212327003479,0.5
6,2,6,0.6257699728012085,1.390913724899292,0.5
7,2,7,0.6943236589431763,1.4061167240142822,0.5
8,2,8,0.6920546293258667,1.4269580841064453,0.5
9,2,9,0.7485530376434326,1.1971617937088013,0.5
10,2,10,0.6209796667098999,1.781760811805725,0.5
11,2,11,6.058027267456055,0.9403237700462341,0.75
12,2,12,5.220820903778076,1.3831820487976074,0.5625
13,2,13,2.122013807296753,0.9422411322593689,0.8125
14,2,14,0.5425290465354919,1.7681787014007568,0.5625
15,2,15,8.990402221679688,0.8539539575576782,0.8125
16,2,16,7.705532073974609,1.404289722442627,0.6875
17,2,17,6.810709476470947,1.7412258386611938,0.625
18,2,18,8.309024810791016,1.3499977588653564,0.5625
19,2,19,5.043583869934082,0.8578025102615356,0.875
20,2,20,4.277268409729004,0.8667212724685669,0.875
21,2,21,7.3551435470581055,0.9228770136833191,0.8125
22,2,22,6.898002624511719,0.8537725806236267,0.8125
23,2,23,6.068300247192383,0.863900363445282,0.8125
24,2,24,17.854202270507812,1.108729362487793,0.75
25,2,25,7.684727668762207,1.0911973714828491,0.625
26,2,26,10.960552215576172,0.8509972095489502,0.875
27,2,27,7.997154235839844,1.9056816101074219,0.5625
28,2,28,1.1979063749313354,0.9196131229400635,0.75
29,2,29,6.810428619384766,0.8785499334335327,0.75
30,2,30,8.625314712524414,0.9123377799987793,0.6875
31,2,31,6.804984092712402,0.8938214778900146,0.75
32,2,32,5.992323398590088,0.940583348274231,0.6875
33,2,33,5.005898952484131,0.8870199918746948,0.75
34,2,34,5.631199836730957,0.8968698978424072,0.75
35,2,35,2.5906624794006348,1.985414981842041,0.5
36,2,36,0.0,4.175757884979248,0.1875
37,2,37,7.347471237182617,0.8841749429702759,0.75
38,2,38,4.1203203201293945,1.519312858581543,0.625
39,2,39,8.304367065429688,0.8694462776184082,0.8125
